year_month,no_of_rainy_days,total_rainfall,accidents_with_fatalities,accidents_with_injuries,year,month,average_rainfall,total_accidents
2013-08,15,165.6,9.0,647.0,2013,08,11.04,656.0
2013-09,19,257.0,7.0,642.0,2013,09,13.526315789473685,649.0
2013-10,19,285.4,9.0,664.0,2013,10,15.021052631578947,673.0
2013-11,22,292.4,16.0,629.0,2013,11,13.29090909090909,645.0
2013-12,21,348.2,12.0,627.0,2013,12,16.58095238095238,639.0
2014-01,5,75.4,15.0,661.0,2014,01,15.080000000000002,676.0
2014-02,1,0.2,17.0,541.0,2014,02,0.2,558.0
2014-03,6,66.0,11.0,593.0,2014,03,11.0,604.0
2014-04,17,110.0,13.0,626.0,2014,04,6.470588235294118,639.0
2014-05,18,125.8,18.0,666.0,2014,05,6.988888888888889,684.0
2014-06,11,71.4,11.0,646.0,2014,06,6.490909090909091,657.0
2014-07,15,148.6,12.0,692.0,2014,07,9.906666666666666,704.0
2014-08,20,241.0,9.0,759.0,2014,08,12.05,768.0
2014-09,9,83.6,16.0,651.0,2014,09,9.288888888888888,667.0
2014-10,10,120.0,11.0,664.0,2014,10,12.0,675.0
2014-11,23,250.8,7.0,669.0,2014,11,10.904347826086957,676.0
2014-12,17,245.6,10.0,641.0,2014,12,14.447058823529412,651.0
2015-01,6,79.6,12.0,626.0,2015,01,13.266666666666666,638.0
2015-02,6,18.8,14.0,634.0,2015,02,3.1333333333333333,648.0
2015-03,5,84.4,12.0,758.0,2015,03,16.880000000000003,770.0
2015-04,13,73.2,15.0,630.0,2015,04,5.630769230769231,645.0
2015-05,12,89.0,7.0,680.0,2015,05,7.416666666666667,687.0
2015-06,10,95.8,15.0,631.0,2015,06,9.58,646.0
2015-07,13,116.8,11.0,703.0,2015,07,8.984615384615385,714.0
2015-08,11,185.8,12.0,682.0,2015,08,16.89090909090909,694.0
2015-09,8,61.6,12.0,614.0,2015,09,7.7,626.0
2015-10,9,87.2,13.0,673.0,2015,10,9.68888888888889,686.0
2015-11,13,72.6,14.0,698.0,2015,11,5.584615384615384,712.0
