date,content,username,like_count,retweet_count
2023-02-24 07:24:08+00:00,"There's just something about @KevinMagnussen and Bahrain, isn't there? 💪

He goes P1 with a 1:33.710 in the opening half hour of Day 2

#F1 #F1Testing @HaasF1Team https://t.co/mY4wGHnQcZ",F1,2281,96
2023-02-24 07:10:37+00:00,"The @McLarenF1 International Space Station, reporting for duty 🛰

#F1 #F1Testing https://t.co/7zr3XfxnqQ",F1,5921,223
2023-02-24 07:03:48+00:00,"And we are GO for our second day in Bahrain! 🚦

Alonso, Zhou, Norris and Sainz emerge instantly

#F1 #F1Testing https://t.co/GCDnv3hEkA",F1,4956,214
2023-02-24 06:58:35+00:00,"We'll see 17 drivers on-track on our second day of testing 👋

#F1 #F1Testing 
https://t.co/bYWTZbYvW7",F1,1410,78
2023-02-23 22:35:00+00:00,"Day 1 of testing, done and dusted 💪

#F1 #F1Testing https://t.co/EMj2fUfpbU",F1,4244,297
2023-02-23 22:15:00+00:00,"What did we learn from the opening day of running at the pre-season test? 👀

Let's find out! 🤓

#F1 #F1Testing 

https://t.co/2jeC1h4se4",F1,1358,74
2023-02-23 20:27:00+00:00,"We. just. can't. get. enough. 😍

#F1 #F1Testing https://t.co/gv6RO4Y4uK",F1,10385,940
2023-02-23 20:04:13+00:00,"Formula 1 cars roared to life as they hit the track in Bahrain for the opening day of #F1Testing ✨

Catch up on all the highlights from Day 1 🎬👇

#F1",F1,1698,142
2023-02-23 19:35:00+00:00,"Oh how we missed the sights and sounds of these cars 😍

#F1 #F1Testing https://t.co/2eYt2MHdO7",F1,7575,782
2023-02-23 19:08:00+00:00,"Can we do this again, next Sunday in Bahrain lads? 😉

Our first testing tussle of the season 😅

#F1 #F1Testing https://t.co/q2K0GhaqW5",F1,4052,198
2023-02-23 18:35:00+00:00,"Mercedes, Ferrari and Red Bull put down the laps in the opening day of #F1Testing 👊

But, just how strong are the 'Big 3' looking? 👀

#F1 

https://t.co/PrzmGcVpPt",F1,1636,148
2023-02-23 18:17:46+00:00,"One very positive @Max33Verstappen 😊

And, one very strong-looking @redbullracing car 💪

#F1 #F1Testing 

https://t.co/arKJAmmXX2",F1,2051,116
2023-02-23 18:01:21+00:00,"Guys. Literally 😆

#F1 #F1Testing @MercedesAMGF1 https://t.co/bsLgLcN2rs",F1,2192,128
2023-02-23 18:00:00+00:00,"Lewis-ception 🤪

#F1 #F1Testing @LewisHamilton @MercedesAMGF1 https://t.co/AvfH2z87hF",F1,5725,340
